# Top IPs from data gathered in last 24 hours only,2022-05-29
Number,IP address,Rating
0,216.245.221.83,0.2140176163866226
1,95.216.54.131,0.2054563023515234
2,95.216.60.75,0.1859752293848574
3,178.63.103.76,0.1240180404952817
4,79.124.62.110,0.1119216670698956
5,216.245.221.91,0.0800742747348791
6,5.9.13.126,0.0555678813371657
7,176.9.110.8,0.0503270012597511
8,49.88.112.73,0.049966997152989
9,63.143.42.242,0.0412239439679133
10,79.124.62.82,0.0391507161953368
11,79.124.62.130,0.0365297715992661
12,69.162.124.237,0.0328431994809676
13,89.248.165.97,0.0304739387956637
14,79.124.62.34,0.0300109956473928
15,63.143.42.251,0.0261142434143112
16,79.124.62.86,0.0248454886123443
17,5.9.13.187,0.0238573815102626
18,45.153.33.215,0.021321632239867
19,45.143.200.50,0.0197122102538002
20,45.153.33.192,0.0178350378121078
21,92.63.197.97,0.0173741491084507
22,51.210.222.207,0.0159201958399472
23,51.81.48.48,0.0148361883435964
24,79.124.62.78,0.0148119745984797
25,89.248.165.166,0.0147767090847745
26,49.88.112.116,0.0144839086615366
27,146.88.240.4,0.0138598137871406
28,5.189.150.102,0.0084719664524347
29,49.88.112.72,0.007844981679328
30,89.248.165.59,0.0075338194882093
31,45.141.84.10,0.0068057508643483
32,51.222.245.19,0.0067986779986799
33,218.75.31.110,0.0059728910090316
34,68.204.198.17,0.0059324637356872
35,185.156.73.91,0.0057452170013378
36,89.248.165.104,0.0057272996989695
37,89.248.165.52,0.0056882808765983
38,172.104.113.6,0.0055798687126624
39,89.248.165.118,0.005425033481145
40,20.103.48.128,0.0053597295628089
41,45.143.203.3,0.0053456543423303
42,141.157.18.29,0.0050325448960926
43,218.92.0.205,0.0050086281420793
44,128.116.76.4,0.0049021019420953
45,75.142.153.152,0.0048767557722089
46,65.108.25.165,0.004618458875042
47,182.74.68.34,0.0045310575416138
48,135.181.210.37,0.0045197037294083
49,213.6.17.78,0.0044655326221406
50,190.34.17.130,0.0043345798922152
51,213.226.123.61,0.0042676623073567
52,147.50.77.194,0.0042237539014011
53,92.247.68.220,0.0038327746018562
54,45.145.227.18,0.0037977339970043
55,96.33.48.220,0.0037105095744797
56,176.31.142.230,0.0037090881255337
57,89.248.165.60,0.0037024426514746
58,45.143.203.2,0.0036746089933484
59,190.2.146.73,0.003629757708581
60,185.191.126.211,0.0035329032980972
61,179.190.99.242,0.0035288982830067
62,49.88.112.118,0.0034968491114803
63,15.235.42.34,0.0033956307882167
64,206.172.78.70,0.0033622906953268
65,106.172.10.224,0.0033164472724929
66,137.74.226.64,0.0032017567204244
67,103.114.104.69,0.0030645629329717
68,176.192.41.182,0.0030024014554589
69,100.21.12.60,0.0029459378396399
70,185.156.73.109,0.0029419221904073
71,119.23.19.228,0.0029395641159764
72,45.141.84.126,0.0029167885299773
73,52.160.249.110,0.0028809907418095
74,185.107.96.233,0.0028230210549015
75,51.38.115.73,0.0028177823651578
76,128.116.75.165,0.002649282850774
77,193.3.19.33,0.0026332714360778
78,89.248.165.204,0.0026321839260151
79,188.114.97.16,0.0025578542420834
80,45.155.205.41,0.002555655655821
81,128.116.77.45,0.0025374565029565
82,178.73.215.171,0.0025367817553917
83,141.94.96.121,0.0025246413666971
84,149.202.7.241,0.0024987493264033
85,95.156.224.113,0.0024763331127288
86,66.240.205.34,0.0024561425365405
87,80.82.77.33,0.0024522680317693
88,80.82.77.139,0.0024358965154836
89,95.216.17.7,0.0023612307013412
90,66.59.210.79,0.0023385183529619
91,128.116.70.15,0.002336127602011
92,217.123.201.25,0.0023340839582368
93,92.255.85.237,0.0023312272871116
94,118.172.23.156,0.002316895329437
95,52.210.222.207,0.0022842214356915
96,37.221.209.239,0.0022671800294075
97,92.63.197.94,0.002246942862848
98,223.71.167.164,0.0022087178595786
99,109.36.146.56,0.002208450122015
100,218.251.40.198,0.002201731337744
101,71.6.199.23,0.0022013155035958
102,146.59.184.105,0.0021604259442493
103,205.178.183.87,0.0021534519178688
104,178.85.34.210,0.0021530454572085
105,31.20.214.122,0.0021517689531793
106,135.125.188.137,0.0021484660478562
107,204.74.236.106,0.0021423977400924
108,189.108.95.99,0.0021287932347785
109,92.255.85.135,0.0021053867381798
110,213.127.31.105,0.0020966154590547
111,128.116.22.132,0.0020945767834658
112,3.131.142.49,0.0020746741505613
113,78.128.113.250,0.0020743116042632
114,82.45.53.55,0.0020670036048373
115,217.146.83.208,0.0020645282649584
116,93.174.95.106,0.0020643482024804
117,176.197.174.170,0.0020631925812598
118,86.94.250.180,0.0020454755524739
119,178.33.181.217,0.0020240712432297
120,185.218.32.138,0.0020237558136081
121,145.239.237.64,0.0020166417374919
122,92.63.197.110,0.0020157675250369
123,92.69.38.151,0.0020027382731522
124,18.196.37.47,0.001969223594998
125,78.20.126.48,0.0019625130284443
126,3.72.103.151,0.0019599488982483
127,171.224.178.244,0.0019535277389715
128,45.155.205.43,0.0019502049421863
129,45.143.203.5,0.0019372959552812
130,94.209.76.152,0.0019345815769829
131,103.133.109.97,0.0019320183688481
132,193.57.40.49,0.0019266838351935
133,73.223.220.239,0.0019221956307793
134,14.207.147.69,0.0019070264627824
135,34.131.68.75,0.0019044971955619
136,217.100.61.145,0.0019000687162685
137,20.94.146.32,0.001893844647729
138,143.244.40.130,0.0018920841461137
139,45.155.205.44,0.0018891861359035
140,101.68.211.3,0.0018823735055829
141,77.169.81.187,0.0018806686508031
142,86.81.247.234,0.0018779297228638
143,103.74.139.234,0.0018744203684914
144,94.111.126.5,0.0018731983543263
145,203.107.46.227,0.0018645109817869
146,182.74.43.130,0.0018540754554644
147,94.208.237.28,0.0018539962599485
148,117.102.64.19,0.0018419248304523
149,66.59.210.158,0.0018331861394487
150,94.102.49.193,0.0018090522657582
151,162.142.125.88,0.0018088640986106
152,162.142.125.83,0.0018059448443884
153,62.250.139.114,0.0018027866411558
154,162.142.125.92,0.0017975962220899
155,162.142.125.95,0.0017965344153019
156,162.142.125.89,0.0017958491250461
157,185.156.73.120,0.0017953936199795
